Time,Input,Intermediate,Output
0.0,0.0,0.0,0.0
1.999999999997609e-09,0.0,-0.020833334,-0.020833334
3.9999999999986064e-09,0.020833334,0.0,-0.020833334
5.999999999999604e-09,0.0,0.0,-0.020833334
7.999999999997213e-09,0.0,0.0,-0.020833334
9.99999999999821e-09,0.020833334,-0.020833334,-0.020833334
1.1999999999999207e-08,0.0,0.0,-0.020833334
1.3999999999996817e-08,0.0,0.0,-0.020833334
1.5999999999997814e-08,0.0,0.0,-0.020833334
1.799999999999881e-08,0.0,-0.020833334,-0.020833334
1.999999999999642e-08,0.0,-0.020833334,-0.041666668
2.1999999999997418e-08,0.0,-0.020833334,0.0
2.3999999999998415e-08,0.020833334,0.0,-0.020833334
2.5999999999996024e-08,0.0,-0.020833334,0.0
2.800000000000041e-08,0.0,0.0,-0.020833334
2.999999999999802e-08,0.0,0.0,0.0
3.199999999999563e-08,0.020833334,0.0,-0.020833334
3.400000000000001e-08,0.020833334,-0.020833334,0.0
3.599999999999762e-08,0.0,-0.020833334,-0.020833334
3.799999999999862e-08,0.0,0.0,0.0
3.999999999999962e-08,0.020833334,0.0,-0.020833334
4.1999999999997226e-08,0.0,-0.020833334,-0.020833334
4.3999999999998223e-08,0.020833334,0.0,-0.020833334
4.599999999999922e-08,0.0,-0.020833334,0.0
4.799999999999683e-08,0.0,0.0,-0.020833334
4.999999999999783e-08,0.0,-0.020833334,-0.020833334
5.1999999999998825e-08,0.0,0.0,-0.020833334
5.3999999999996434e-08,0.0,-0.020833334,0.0
5.599999999999743e-08,0.0,0.0,-0.020833334
5.799999999999843e-08,0.0,0.0,-0.020833334
5.999999999999604e-08,0.0,0.0,-0.020833334
6.200000000000042e-08,0.0,-0.020833334,0.0
6.399999999999803e-08,0.0,0.0,-0.020833334
6.599999999999564e-08,0.020833334,-0.020833334,-0.020833334
6.800000000000003e-08,0.0,0.0,-0.020833334
6.999999999999764e-08,0.0,-0.020833334,0.0
7.199999999999863e-08,0.0,0.0,-0.020833334
7.399999999999963e-08,0.0,-0.020833334,-0.020833334
7.599999999999724e-08,0.0,-0.020833334,-0.020833334
7.799999999999824e-08,0.0,-0.020833334,-0.020833334
7.999999999999923e-08,0.0,0.0,-0.020833334
8.199999999999684e-08,0.0,0.0,-0.020833334
8.399999999999784e-08,0.0,0.0,0.0
8.599999999999884e-08,0.0,-0.020833334,0.0
8.799999999999645e-08,0.0,-0.020833334,-0.020833334
8.999999999999744e-08,0.0,-0.020833334,0.0
9.199999999999844e-08,0.020833334,0.0,-0.020833334
9.399999999999605e-08,-0.020833334,-0.020833334,0.0
9.600000000000044e-08,0.0,-0.020833334,-0.020833334
9.799999999999805e-08,0.0,-0.020833334,-0.020833334
9.999999999999565e-08,0.0,0.0,0.0
1.0200000000000004e-07,0.0,0.0,0.0
1.0399999999999765e-07,0.0,0.0,-0.020833334
1.0599999999999865e-07,0.0,0.0,0.0
1.0799999999999964e-07,0.0,0.0,-0.020833334
1.0999999999999725e-07,0.0,0.0,-0.020833334
1.1199999999999825e-07,0.0,0.0,-0.020833334
1.1399999999999925e-07,0.0,-0.020833334,0.0
1.1599999999999686e-07,0.0,0.0,0.0
1.1799999999999785e-07,0.020833334,-0.020833334,-0.020833334
1.1999999999999885e-07,0.020833334,0.0,0.0
1.2199999999999646e-07,0.020833334,-0.020833334,-0.020833334
1.2399999999999746e-07,0.020833334,-0.020833334,-0.020833334
1.2599999999999845e-07,0.0,-0.020833334,0.0
1.2799999999999606e-07,0.0,0.0,-0.020833334
1.3000000000000045e-07,0.020833334,0.0,0.0
1.3199999999999806e-07,0.0,0.0,-0.020833334
1.3399999999999567e-07,0.0,-0.020833334,0.0
1.3600000000000005e-07,0.0,0.0,-0.020833334
1.3799999999999766e-07,0.020833334,0.0,0.0
1.3999999999999866e-07,0.0,0.0,0.0
1.4199999999999966e-07,0.0,0.0,0.020833334
1.4399999999999727e-07,0.0,0.0,-0.020833334
1.4599999999999826e-07,0.020833334,-0.020833334,0.0
1.4799999999999926e-07,-0.020833334,0.0,0.0
1.4999999999999687e-07,0.020833334,-0.020833334,0.0
1.5199999999999787e-07,0.020833334,0.0,-0.020833334
1.5399999999999886e-07,0.0,-0.020833334,-0.020833334
1.5599999999999647e-07,0.020833334,0.0,0.0
1.5799999999999747e-07,0.0,-0.020833334,0.020833334
1.5999999999999847e-07,0.0,0.0,-0.020833334
1.6199999999999608e-07,0.0,0.0,0.0
1.6400000000000046e-07,0.020833334,0.0,-0.020833334
1.6599999999999807e-07,0.0,0.0,0.0
1.6799999999999568e-07,0.020833334,0.0,-0.020833334
1.7000000000000007e-07,0.0,-0.020833334,-0.020833334
1.7199999999999768e-07,0.020833334,0.0,0.0
1.7399999999999867e-07,0.0,0.0,0.0
1.7599999999999967e-07,0.0,0.0,-0.020833334
1.7799999999999728e-07,0.0,-0.020833334,0.0
1.7999999999999828e-07,0.020833334,0.0,-0.020833334
1.8199999999999927e-07,0.0,0.0,0.0
1.8399999999999688e-07,0.0,0.0,-0.020833334
1.8599999999999788e-07,0.0,-0.020833334,-0.020833334
1.8799999999999888e-07,0.020833334,0.0,-0.020833334
1.899999999999965e-07,0.0,0.0,-0.020833334
1.9199999999999748e-07,0.0,0.0,-0.020833334
1.9399999999999848e-07,0.020833334,-0.020833334,-0.020833334
1.959999999999961e-07,0.0,0.0,-0.020833334
1.9800000000000048e-07,0.0,-0.020833334,-0.020833334
1.9999999999999809e-07,0.020833334,0.0,-0.020833334
2.019999999999957e-07,0.020833334,-0.020833334,-0.020833334
2.0400000000000008e-07,0.0,0.0,0.0
2.059999999999977e-07,0.020833334,0.0,0.0
2.0799999999999869e-07,0.0,-0.020833334,-0.020833334
2.0999999999999968e-07,0.020833334,0.0,0.0
2.119999999999973e-07,0.0,0.0,0.0
2.139999999999983e-07,0.0,0.0,0.020833334
2.159999999999993e-07,0.0,0.0,-0.020833334
2.179999999999969e-07,0.020833334,-0.020833334,-0.020833334
2.199999999999979e-07,0.020833334,0.0,0.0
2.219999999999989e-07,0.020833334,0.0,0.0
2.239999999999965e-07,0.0,0.0,-0.020833334
2.259999999999975e-07,0.020833334,0.0,0.0
2.279999999999985e-07,0.020833334,0.0,-0.020833334
2.299999999999961e-07,0.0,0.0,0.0
2.320000000000005e-07,0.020833334,0.0,-0.020833334
2.339999999999981e-07,0.020833334,-0.020833334,0.0
2.359999999999957e-07,0.020833334,-0.020833334,-0.020833334
2.380000000000001e-07,0.0,0.0,0.0
2.399999999999977e-07,0.020833334,0.0,-0.020833334
2.419999999999987e-07,0.0,-0.020833334,-0.020833334
2.439999999999997e-07,0.0,0.0,-0.020833334
2.459999999999973e-07,0.0,-0.020833334,0.0
2.479999999999983e-07,0.0,0.0,-0.020833334
2.499999999999993e-07,0.020833334,-0.020833334,0.0
2.519999999999969e-07,0.020833334,0.0,-0.020833334
2.539999999999979e-07,0.0,0.0,0.0
2.559999999999989e-07,0.020833334,0.0,-0.020833334
2.579999999999965e-07,0.0,-0.020833334,0.0
2.599999999999975e-07,0.0,0.0,-0.020833334
2.619999999999985e-07,0.020833334,0.0,0.0
2.639999999999961e-07,0.020833334,0.0,-0.020833334
2.660000000000005e-07,0.020833334,-0.020833334,0.0
2.679999999999981e-07,0.0,0.0,0.0
2.699999999999957e-07,-0.020833334,-0.020833334,0.0
2.720000000000001e-07,0.0,0.0,-0.020833334
2.739999999999977e-07,0.0,-0.020833334,0.0
2.759999999999987e-07,0.0,-0.020833334,-0.020833334
2.779999999999997e-07,0.0,-0.020833334,0.020833334
2.799999999999973e-07,0.0,-0.020833334,0.0
2.819999999999983e-07,0.020833334,-0.020833334,0.0
2.839999999999993e-07,0.020833334,0.0,-0.020833334
2.859999999999969e-07,0.020833334,-0.020833334,0.0
2.879999999999979e-07,0.020833334,0.0,-0.020833334
2.899999999999989e-07,0.020833334,-0.020833334,0.0
2.9199999999999653e-07,0.0,0.0,0.0
2.939999999999975e-07,0.0,-0.020833334,0.0
2.959999999999985e-07,0.020833334,-0.020833334,0.0
2.9799999999999613e-07,0.0,-0.020833334,-0.020833334
3.000000000000005e-07,0.0,0.0,-0.020833334
3.019999999999981e-07,0.020833334,-0.020833334,0.0
3.0399999999999573e-07,0.020833334,0.0,0.0
3.060000000000001e-07,0.020833334,0.0,0.0
3.0799999999999773e-07,0.0,0.0,-0.020833334
3.099999999999987e-07,0.0,0.0,0.0
3.119999999999997e-07,0.020833334,-0.020833334,0.0
3.1399999999999733e-07,0.0,-0.020833334,0.0
3.1599999999999833e-07,0.0,0.0,-0.020833334
3.1799999999999933e-07,0.020833334,-0.020833334,0.0
3.1999999999999694e-07,0.020833334,0.0,-0.020833334
3.2199999999999793e-07,0.0,-0.020833334,0.0
3.2399999999999893e-07,0.0,0.0,0.0
3.2599999999999654e-07,0.020833334,0.0,0.0
3.2799999999999754e-07,0.020833334,0.0,-0.020833334
3.2999999999999853e-07,0.0,-0.020833334,-0.020833334
3.3199999999999614e-07,0.0,0.0,-0.020833334
3.3400000000000053e-07,0.020833334,-0.020833334,-0.020833334
3.3599999999999814e-07,0.0,0.0,-0.020833334
3.3799999999999575e-07,0.020833334,0.0,-0.020833334
3.4000000000000013e-07,0.0,0.0,-0.020833334
3.4199999999999774e-07,0.0,0.0,0.0
3.4399999999999874e-07,0.0,0.020833334,0.0
3.4599999999999974e-07,0.0,0.0,0.0
3.4799999999999735e-07,0.020833334,0.0,-0.020833334
3.4999999999999834e-07,0.0,-0.020833334,0.0
3.5199999999999934e-07,0.020833334,0.0,-0.020833334
3.5399999999999695e-07,0.020833334,0.0,0.0
3.5599999999999795e-07,0.0,0.0,0.0
3.5799999999999894e-07,0.0,0.0,0.0
3.5999999999999655e-07,0.0,0.0,-0.020833334
3.6199999999999755e-07,0.0,-0.020833334,-0.020833334
3.6399999999999855e-07,0.0,0.0,-0.020833334
3.6599999999999616e-07,0.0,-0.020833334,0.0
3.6800000000000054e-07,0.020833334,0.0,-0.020833334
3.6999999999999815e-07,0.020833334,-0.020833334,-0.020833334
3.7199999999999576e-07,0.0,0.0,-0.020833334
3.7400000000000015e-07,0.0,0.0,0.0
3.7599999999999776e-07,0.0,0.0,-0.020833334
3.7799999999999875e-07,0.0,0.0,0.0
3.7999999999999975e-07,0.020833334,0.0,-0.020833334
3.8199999999999736e-07,0.020833334,-0.020833334,0.0
3.8399999999999836e-07,0.0,0.020833334,0.0
3.8599999999999935e-07,0.020833334,-0.020833334,0.0
3.8799999999999696e-07,0.0,0.0,-0.020833334
3.8999999999999796e-07,0.0,-0.020833334,0.0
3.9199999999999896e-07,0.0,0.0,0.0
3.9399999999999657e-07,0.020833334,-0.020833334,-0.020833334
3.9599999999999756e-07,0.0,0.0,0.0
3.9799999999999856e-07,0.020833334,0.0,0.0
3.9999999999999617e-07,0.020833334,0.0,-0.020833334
4.0200000000000056e-07,0.0,-0.020833334,0.0
4.0399999999999816e-07,0.0,0.0,-0.020833334
4.059999999999958e-07,0.0,-0.020833334,0.0
4.0800000000000016e-07,0.0,0.0,-0.020833334
4.0999999999999777e-07,0.020833334,-0.020833334,0.0
4.1199999999999877e-07,0.0,0.0,0.0
4.1399999999999976e-07,0.020833334,0.0,0.0
4.1599999999999737e-07,0.0,0.0,-0.020833334
4.1799999999999837e-07,0.020833334,0.0,0.0
4.1999999999999937e-07,0.020833334,0.0,0.0
4.21999999999997e-07,0.0,0.0,0.020833334
4.2399999999999797e-07,0.020833334,0.0,0.0
4.2599999999999897e-07,0.0,0.0,0.0
4.279999999999966e-07,0.0,0.0,0.0
4.299999999999976e-07,-0.020833334,0.0,0.0
4.319999999999986e-07,0.0,0.0,0.0
4.339999999999962e-07,0.0,-0.020833334,-0.020833334
4.3600000000000057e-07,0.0,-0.020833334,-0.020833334
4.379999999999982e-07,0.0,0.0,0.0
4.399999999999958e-07,0.0,0.0,0.0
4.4200000000000017e-07,0.0,-0.020833334,0.0
4.439999999999978e-07,0.020833334,0.0,0.0
4.459999999999988e-07,0.0,0.0,0.0
4.479999999999998e-07,0.020833334,0.0,-0.020833334
4.499999999999974e-07,0.020833334,-0.020833334,-0.020833334
4.519999999999984e-07,0.0,0.0,-0.020833334
4.539999999999994e-07,0.0,-0.020833334,0.0
4.55999999999997e-07,0.0,0.0,-0.020833334
4.57999999999998e-07,0.020833334,0.0,-0.020833334
4.59999999999999e-07,0.0,0.0,-0.020833334
4.619999999999966e-07,0.0,-0.020833334,0.0
4.639999999999976e-07,0.0,0.0,-0.020833334
4.659999999999986e-07,0.0,-0.020833334,-0.020833334
4.679999999999962e-07,0.0,-0.020833334,0.0
4.700000000000006e-07,0.0,-0.020833334,0.0
4.719999999999982e-07,0.0,0.0,-0.020833334
4.739999999999958e-07,0.020833334,-0.020833334,0.0
4.760000000000002e-07,0.020833334,0.0,-0.020833334
4.779999999999978e-07,0.0,-0.020833334,0.0
4.799999999999988e-07,0.0,0.0,-0.020833334
4.819999999999998e-07,0.0,-0.020833334,-0.020833334
4.839999999999974e-07,0.0,0.0,-0.020833334
4.859999999999984e-07,0.0,-0.020833334,0.0
4.879999999999994e-07,0.0,0.0,-0.020833334
4.89999999999997e-07,0.020833334,-0.020833334,0.0
4.91999999999998e-07,0.020833334,0.0,0.0
4.93999999999999e-07,0.020833334,0.0,0.0
4.959999999999966e-07,0.020833334,0.0,0.0
4.979999999999976e-07,0.020833334,-0.020833334,0.0
4.999999999999986e-07,0.0,0.0,-0.020833334
5.019999999999962e-07,0.0,0.0,0.0
5.040000000000006e-07,0.0,-0.020833334,-0.020833334
5.059999999999982e-07,0.0,0.0,0.0
5.079999999999958e-07,0.0,0.0,-0.020833334
5.100000000000002e-07,0.0,-0.020833334,0.0
5.119999999999978e-07,0.0,0.0,-0.020833334
5.139999999999988e-07,0.0,-0.020833334,-0.020833334
5.159999999999998e-07,0.020833334,0.0,-0.020833334
5.179999999999974e-07,0.0,0.0,0.0
5.199999999999984e-07,0.020833334,0.0,0.0
5.219999999999994e-07,0.0,0.0,0.0
5.23999999999997e-07,0.0,0.0,-0.020833334
5.25999999999998e-07,0.0,0.0,0.0
5.27999999999999e-07,0.0,0.0,0.0
5.299999999999966e-07,0.020833334,0.0,0.0
5.319999999999976e-07,0.020833334,0.0,-0.020833334
5.339999999999986e-07,0.0,-0.020833334,0.0
5.359999999999962e-07,0.020833334,0.0,0.0
5.380000000000006e-07,0.0,-0.020833334,0.0
5.399999999999982e-07,0.0,0.0,-0.020833334
5.419999999999958e-07,0.0,0.0,0.020833334
5.440000000000002e-07,0.0,0.0,0.0
5.459999999999978e-07,0.0,-0.020833334,0.0
5.479999999999988e-07,0.0,0.0,-0.020833334
5.499999999999998e-07,0.020833334,0.0,0.0
5.519999999999974e-07,0.020833334,0.0,-0.020833334
5.539999999999984e-07,0.0,-0.020833334,0.0
5.559999999999994e-07,0.020833334,0.0,-0.020833334
5.57999999999997e-07,0.020833334,0.0,0.0
5.59999999999998e-07,0.0,0.0,-0.020833334
5.61999999999999e-07,0.0,-0.020833334,0.0
