Time,Input,Output
3.88E-07,0,0
3.90E-07,0,-0.020833334
3.92E-07,0,0
3.94E-07,0.020833334,-0.020833334
3.96E-07,0,0
3.98E-07,0.020833334,0
4.00E-07,0.020833334,0
4.02E-07,0,-0.020833334
4.04E-07,0,0
4.06E-07,0,-0.020833334
4.08E-07,0,0
4.10E-07,0.020833334,-0.020833334
4.12E-07,0,0
4.14E-07,0.020833334,0
4.16E-07,0,0
4.18E-07,0.020833334,0
4.20E-07,0.020833334,0
4.22E-07,0,0
4.24E-07,0.020833334,0
4.26E-07,0,0
4.28E-07,0,0
4.30E-07,-0.020833334,0
4.32E-07,0,0
4.34E-07,0,-0.020833334
4.36E-07,0,-0.020833334
4.38E-07,0,0
4.40E-07,0,0
4.42E-07,0,-0.020833334
4.44E-07,0.020833334,0
4.46E-07,0,0
4.48E-07,0.020833334,0
4.50E-07,0.020833334,-0.020833334
4.52E-07,0,0
4.54E-07,0,-0.020833334
4.56E-07,0,0
4.58E-07,0.020833334,0
4.60E-07,0,0
4.62E-07,0,-0.020833334
4.64E-07,0,0
4.66E-07,0,-0.020833334
4.68E-07,0,-0.020833334
4.70E-07,0,-0.020833334
4.72E-07,0,0
4.74E-07,0.020833334,-0.020833334
4.76E-07,0.020833334,0
4.78E-07,0,-0.020833334
4.80E-07,0,0
4.82E-07,0,-0.020833334
4.84E-07,0,0
4.86E-07,0,-0.020833334
4.88E-07,0,0
4.90E-07,0.020833334,-0.020833334
4.92E-07,0.020833334,0
4.94E-07,0.020833334,0
4.96E-07,0.020833334,0
4.98E-07,0.020833334,-0.020833334
5.00E-07,0,0
5.02E-07,0,0
5.04E-07,0,-0.020833334
5.06E-07,0,0
5.08E-07,0,0
5.10E-07,0,-0.020833334
5.12E-07,0,0
5.14E-07,0,-0.020833334
5.16E-07,0.020833334,0
5.18E-07,0,0
5.20E-07,0.020833334,0
5.22E-07,0,0
5.24E-07,0,0
5.26E-07,0,0
5.28E-07,0,0
5.30E-07,0.020833334,0
5.32E-07,0.020833334,0
5.34E-07,0,-0.020833334
5.36E-07,0.020833334,0
5.38E-07,0,-0.020833334
5.40E-07,0,0
5.42E-07,0,0
5.44E-07,0,0
5.46E-07,0,-0.020833334
5.48E-07,0,0
5.50E-07,0.020833334,0
5.52E-07,0.020833334,0
5.54E-07,0,-0.020833334
5.56E-07,0.020833334,0
5.58E-07,0.020833334,0
5.60E-07,0,0
5.62E-07,0,-0.020833334
5.64E-07,0,0
5.66E-07,0.020833334,-0.020833334
5.68E-07,0.020833334,0
5.70E-07,0,0
5.72E-07,0,0
5.74E-07,0,-0.020833334
5.76E-07,0,0
5.78E-07,0.020833334,-0.020833334
5.80E-07,0.020833334,0
5.82E-07,0,-0.020833334
5.84E-07,0,0
5.86E-07,0,0
5.88E-07,0,0
5.90E-07,0,-0.020833334
5.92E-07,0.020833334,0
5.94E-07,0.020833334,-0.020833334
5.96E-07,0,0
5.98E-07,0,0
6.00E-07,0,0
6.02E-07,0.020833334,-0.020833334
6.04E-07,0,0
6.06E-07,0,-0.020833334
6.08E-07,0,0
6.10E-07,0.020833334,-0.020833334
6.12E-07,0.020833334,0
6.14E-07,0,0
6.16E-07,0,-0.020833334
6.18E-07,0.020833334,0
6.20E-07,0,0
6.22E-07,0,0
6.24E-07,0,0
6.26E-07,0,-0.020833334
6.28E-07,0,0
6.30E-07,0,-0.020833334
6.32E-07,0.020833334,-0.020833334
6.34E-07,0,-0.020833334
6.36E-07,0,0
6.38E-07,0,-0.020833334
