Time,Input
0.0,-0.0
1e-09,-0.003926980723806
2e-09,-0.007853900888711334
3.0000000000000004e-09,-0.011780699936749227
4e-09,-0.015707317311820675
5e-09,-0.0196336924606283
6.000000000000001e-09,-0.023559764833610154
7.000000000000001e-09,-0.02748547388587346
8e-09,-0.03141075907812829
9.000000000000001e-09,-0.035335559877621193
1e-08,-0.03925981575906861
1.1000000000000001e-08,-0.043183466205590326
1.2000000000000002e-08,-0.047106450709642665
1.3e-08,-0.05102870877395161
1.4000000000000001e-08,-0.05495017991244575
1.5000000000000002e-08,-0.05887080365118904
1.6e-08,-0.06279051952931337
1.7e-08,-0.06670926709995102
1.8000000000000002e-08,-0.07062698593116667
1.9e-08,-0.07454361560688956
2e-08,-0.07845909572784494
2.1000000000000003e-08,-0.0823733659124857
2.2000000000000002e-08,-0.08628636579792338
2.3e-08,-0.09019803504085915
2.4000000000000003e-08,-0.09410831331851433
2.5000000000000002e-08,-0.09801714032956062
2.6e-08,-0.10192445579505004
2.7e-08,-0.10583019945934458
2.8000000000000003e-08,-0.10973431109104528
2.9e-08,-0.11363673048392114
3.0000000000000004e-08,-0.11753739745783766
3.1e-08,-0.12143625185968468
3.2e-08,-0.12533323356430426
3.3000000000000004e-08,-0.12922828247541768
3.4e-08,-0.13312133852655236
3.5e-08,-0.13701234168196802
3.6000000000000005e-08,-0.14090123193758267
3.7e-08,-0.1447879493218977
3.8e-08,-0.148672433896923
3.9000000000000005e-08,-0.15255462575910106
4e-08,-0.15643446504023087
4.1e-08,-0.16031189190839112
4.2000000000000006e-08,-0.16418684656886295
4.3e-08,-0.16805926926505188
4.4000000000000004e-08,-0.17192910027940955
4.5000000000000006e-08,-0.17579627993435454
4.6e-08,-0.17966074859319253
4.7000000000000004e-08,-0.18352244666103637
4.8000000000000006e-08,-0.18738131458572463
4.9e-08,-0.1912372928587403
5.0000000000000004e-08,-0.19509032201612828
5.1e-08,-0.19894034263941257
5.2e-08,-0.2027872953565125
5.3000000000000005e-08,-0.2066311208426582
5.4e-08,-0.21047175982130567
5.5e-08,-0.21430915306505077
